"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"04676","44.34741","-68.64238","Sedgwick","ME","Maine","TRUE","","1186","18.8","23009","Hancock","{""23009"": 100}","Hancock","23009","FALSE","FALSE","America/New_York"
"04677","44.49016","-68.17945","Sorrento","ME","Maine","TRUE","","271","26.2","23009","Hancock","{""23009"": 100}","Hancock","23009","FALSE","FALSE","America/New_York"
"04679","44.27843","-68.33247","Southwest Harbor","ME","Maine","TRUE","","1535","43.9","23009","Hancock","{""23009"": 100}","Hancock","23009","FALSE","FALSE","America/New_York"
"04680","44.50699","-67.94485","Steuben","ME","Maine","TRUE","","1297","11.6","23029","Washington","{""23029"": 100}","Washington","23029","FALSE","FALSE","America/New_York"
"04681","44.16655","-68.65646","Stonington","ME","Maine","TRUE","","887","34.9","23009","Hancock","{""23009"": 100}","Hancock","23009","FALSE","FALSE","America/New_York"
"04683","44.23596","-68.82368","Sunset","ME","Maine","TRUE","","0","0.0","23009","Hancock","{""23009"": 100}","Hancock","23009","FALSE","FALSE","America/New_York"
"04684","44.49335","-68.52796","Surry","ME","Maine","TRUE","","1831","19.1","23009","Hancock","{""23009"": 100}","Hancock","23009","FALSE","FALSE","America/New_York"
"04685","44.15869","-68.44015","Swans Island","ME","Maine","TRUE","","436","10.5","23009","Hancock","{""23009"": 100}","Hancock","23009","FALSE","FALSE","America/New_York"
"04686","44.98619","-67.69015","Wesley","ME","Maine","TRUE","","158","0.5","23029","Washington","{""23029"": 100}","Washington","23029","FALSE","FALSE","America/New_York"
"04691","44.76178","-67.25217","Whiting","ME","Maine","TRUE","","456","3.8","23029","Washington","{""23029"": 100}","Washington","23029","FALSE","FALSE","America/New_York"
"04693","44.38479","-68.07828","Winter Harbor","ME","Maine","TRUE","","474","12.7","23009","Hancock","{""23009"": 100}","Hancock","23009","FALSE","FALSE","America/New_York"
"04694","45.09987","-67.46518","Baileyville","ME","Maine","TRUE","","2256","6.6","23029","Washington","{""23029"": 100}","Washington","23029","FALSE","FALSE","America/New_York"
"04730","46.12574","-67.91471","Houlton","ME","Maine","TRUE","","10086","15.9","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04732","46.56679","-68.49326","Ashland","ME","Maine","TRUE","","1534","2.2","23003","Aroostook","{""23003"": 91.43, ""23021"": 8.57}","Aroostook|Piscataquis","23003|23021","FALSE","FALSE","America/New_York"
"04733","45.74275","-68.40311","Benedicta","ME","Maine","TRUE","","291","1.8","23003","Aroostook","{""23003"": 76.42, ""23019"": 23.58}","Aroostook|Penobscot","23003|23019","FALSE","FALSE","America/New_York"
"04734","46.48479","-67.91955","Blaine","ME","Maine","TRUE","","913","8.8","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04735","46.38072","-68.02865","Bridgewater","ME","Maine","TRUE","","473","0.9","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04736","46.90661","-68.01998","Caribou","ME","Maine","TRUE","","9021","22.1","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04737","46.61641","-69.52178","Clayton Lake","ME","Maine","TRUE","","0","0.0","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04739","46.97137","-68.61049","Eagle Lake","ME","Maine","TRUE","","819","1.6","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04740","46.64325","-67.85487","Easton","ME","Maine","TRUE","","1454","14.5","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04742","46.77766","-67.85526","Fort Fairfield","ME","Maine","TRUE","","3302","16.5","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04743","47.15427","-68.72512","Fort Kent","ME","Maine","TRUE","","4724","11.0","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04745","47.27371","-68.39936","Frenchville","ME","Maine","TRUE","","789","10.6","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04746","47.24885","-68.12472","Grand Isle","ME","Maine","TRUE","","419","4.4","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04747","45.94854","-68.19649","Island Falls","ME","Maine","TRUE","","1372","1.7","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04750","46.9582","-67.85718","Limestone","ME","Maine","TRUE","","2110","10.4","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04756","47.33054","-68.30176","Madawaska","ME","Maine","TRUE","","3240","76.2","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04757","46.6141","-68.18278","Mapleton","ME","Maine","TRUE","","2607","4.8","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04758","46.55426","-67.84732","Mars Hill","ME","Maine","TRUE","","1374","15.1","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
"04760","46.32354","-67.90928","Monticello","ME","Maine","TRUE","","679","3.4","23003","Aroostook","{""23003"": 100}","Aroostook","23003","FALSE","FALSE","America/New_York"
